,r,C,T,n,fold,best_alpha,mse,evs
0,2,10,2048,512,0,0.1,2.5936309484168087,0.6746005422674775
0,2,10,2048,1024,0,0.1,2.5153078400942315,0.695730137588619
0,2,10,2048,2048,0,0.1,2.688023965603093,0.6639973455572075
0,10,2,16,16,0,0.01,0.45275297398912995,0.38691600159623496
0,10,2,16,32,0,0.01,0.5291828207653144,-0.5068875765571939
0,10,2,16,64,0,0.01,0.5485000575729647,0.3245275093419455
0,10,2,16,128,0,0.01,0.2923867847585516,0.4871046675168669
0,10,2,16,256,0,0.01,0.20805103653970772,0.5802417120061651
0,10,2,16,512,0,0.01,0.3316875706424534,0.4884222741854113
0,10,2,16,1024,0,0.01,0.20621976277429022,-0.45343369986723947
0,10,2,16,2048,0,0.01,0.3742337630219738,-0.13460754906056605
0,10,2,32,16,0,0.01,0.5936491855375086,0.12387049909504377
0,10,2,32,32,0,0.1,0.20257245437483415,0.08502022037703716
0,10,2,32,64,0,0.01,0.2787280888556849,0.32252075828662097
0,10,2,32,128,0,0.01,0.3127850820884891,0.5358149086126271
0,10,2,32,256,0,0.01,0.20517876204395846,0.2629417893927898
0,10,2,32,512,0,0.01,0.31948918937844495,0.27652330914587075
0,10,2,32,1024,0,0.01,0.1910212918955926,0.42436814178466975
0,10,2,32,2048,0,0.01,0.23037556436638057,0.1856380551011778
0,10,2,64,16,0,0.01,0.4661028934671029,0.3205228222565154
0,10,2,64,32,0,1.0,0.25948674187448234,0.033766983113945104
0,10,2,64,64,0,0.01,0.1730334060854613,0.4641771822723654
0,10,2,64,128,0,0.01,0.1787287985989,0.5473916572724187
0,10,2,64,256,0,0.01,0.20437217773811045,0.2847179387274126
0,10,2,64,512,0,0.01,0.15284385550344798,0.47560919735831875
0,10,2,64,1024,0,0.01,0.2634901761348373,0.2171150229902089
0,10,2,64,2048,0,0.01,0.15592961808896144,0.43414811460219005
0,10,2,128,16,0,0.1,0.2372431797422473,0.18685245180671717
0,10,2,128,32,0,0.1,0.19386207915018053,0.2292735086777058
0,10,2,128,64,0,0.1,0.1519635442831393,0.398246112921386
0,10,2,128,128,0,0.01,0.1432393360847139,0.48246843530781236
0,10,2,128,256,0,0.1,0.15794766399481375,0.40849551498003633
0,10,2,128,512,0,0.1,0.20449410270610652,0.3317336438317371
0,10,2,128,1024,0,0.1,0.19689705245630848,0.20680146584530334
0,10,2,128,2048,0,0.1,0.15018649134616185,0.4277702950568929
0,10,2,256,16,0,0.1,0.16682340098272,0.35220726417741566
0,10,2,256,32,0,1.0,0.17023964453210633,0.37156962828201334
0,10,2,256,64,0,0.1,0.18178739048978643,0.27631287764841195
0,10,2,256,128,0,0.01,0.12586294150438948,0.4954488274673555
0,10,2,256,256,0,1.0,0.16810455512014924,0.3518227378110024
0,10,2,256,512,0,1.0,0.19688208000405671,0.3408231999974033
0,10,2,256,1024,0,0.1,0.19097320530568682,0.28586579266722834
0,10,2,256,2048,0,0.1,0.14591698032024633,0.4161454263684371
0,10,2,512,16,0,1.0,0.1710046623113853,0.323057505606107
0,10,2,512,32,0,1.0,0.1567124604139289,0.4171948486796576
0,10,2,512,64,0,0.1,0.14821190376110643,0.4111542820546822
0,10,2,512,128,0,1.0,0.13675985978336652,0.461942684637362
0,10,2,512,256,0,1.0,0.14180613887181973,0.44248117639182705
0,10,2,512,512,0,1.0,0.1663407296610906,0.3785926748051168
0,10,2,512,1024,0,0.1,0.16417537807139423,0.37690718029202186
0,10,2,512,2048,0,1.0,0.14596469347159302,0.41812379490254603
0,10,2,1024,16,0,1.0,0.1806976603516994,0.3114228005835117
0,10,2,1024,32,0,1.0,0.16510042450521462,0.3409529115069626
0,10,2,1024,64,0,1.0,0.13448929036463997,0.47272604224095893
0,10,2,1024,128,0,1.0,0.13947730120394247,0.4449405694891484
0,10,2,1024,256,0,1.0,0.12942986708745044,0.48223587418605995
0,10,2,1024,512,0,1.0,0.1427947756309193,0.4443412938728034
0,10,2,1024,1024,0,1.0,0.14293571895278742,0.4324160883308542
0,10,2,1024,2048,0,1.0,0.13407177857355623,0.468519906109375
0,10,2,2048,16,0,1.0,0.1575022187750469,0.37322087608395726
0,10,2,2048,32,0,1.0,0.14356431998648234,0.42764104469300634
0,10,2,2048,64,0,1.0,0.12834927585943606,0.48782908896184773
0,10,2,2048,128,0,1.0,0.12576508645951462,0.4976664883705827
0,10,2,2048,256,0,1.0,0.12413987938249584,0.5034593465374813
0,10,2,2048,512,0,1.0,0.1287841426029265,0.4873317160765298
0,10,2,2048,1024,0,1.0,0.12547400501634848,0.497412383681628
0,10,2,2048,2048,0,1.0,0.12333763606475664,0.5109551049720067
0,10,10,16,16,0,0.1,3.7011373640282494,0.06068428878689647
0,10,10,16,32,0,0.01,16.304924620574496,0.42601880184605634
0,10,10,16,64,0,0.01,7.615999743619531,0.22165932899762875
0,10,10,16,128,0,0.01,1.4459251900769379,0.8225840711428787
0,10,10,16,256,0,0.01,3.667510336532662,0.4405302371240445
0,10,10,16,512,0,0.01,12.132182336755996,0.18166268201374935
0,10,10,16,1024,0,0.01,1.982697502441955,0.7632946712100589
0,10,10,16,2048,0,1.0,2.4420019692174404,0.5179205081991187
0,10,10,32,16,0,0.01,3.0673370636715385,0.62931959164897
0,10,10,32,32,0,0.01,4.433698747955984,0.6266400051762683
0,10,10,32,64,0,0.01,6.386223257409552,0.25338843203689054
0,10,10,32,128,0,0.01,1.5192576679311334,0.7913954537176604
0,10,10,32,256,0,0.01,3.006888191533738,0.8094588450287514
0,10,10,32,512,0,0.01,6.7640105970501345,0.324123328142374
0,10,10,32,1024,0,0.01,3.4974357183457885,0.6111398420610337
0,10,10,32,2048,0,0.01,2.367227436410388,0.6662039337061543
0,10,10,64,16,0,0.01,6.618621269927122,0.39685019815216416
0,10,10,64,32,0,0.1,5.292320521987968,0.40085728021497136
0,10,10,64,64,0,0.01,5.370785415947502,0.5644006039946318
0,10,10,64,128,0,1.0,1.3246615900606376,0.8319172512425363
0,10,10,64,256,0,0.1,3.514023072365518,0.5656132860230334
0,10,10,64,512,0,0.01,4.176460079790402,0.6509197354021806
0,10,10,64,1024,0,0.01,3.3949786092575662,0.6453351950231282
0,10,10,64,2048,0,0.1,2.5479116084264586,0.6414716494665381
0,10,10,128,16,0,1.0,5.287459961971951,0.29792965912959624
0,10,10,128,32,0,0.1,3.95948915323312,0.5552263553819021
0,10,10,128,64,0,1.0,3.959529988683595,0.5042907816052881
0,10,10,128,128,0,1.0,2.4703565747637577,0.6922572185676431
0,10,10,128,256,0,1.0,2.794599565921505,0.6500024674908267
0,10,10,128,512,0,1.0,2.7057411340548185,0.6352718628655551
0,10,10,128,1024,0,0.01,2.729186683259987,0.659366401505299
0,10,10,128,2048,0,0.1,1.9229751232863712,0.7227896687862472
0,10,10,256,16,0,0.1,4.990493763778812,0.34177208458522135
0,10,10,256,32,0,1.0,3.045404774132551,0.6273777127329494
0,10,10,256,64,0,1.0,3.7686775321504573,0.5631190937020599
0,10,10,256,128,0,1.0,2.558612864371155,0.6873534063459632
0,10,10,256,256,0,1.0,2.3904835703525116,0.6704048576729564
0,10,10,256,512,0,1.0,2.7382423076046534,0.6094633400072551
0,10,10,256,1024,0,0.1,2.0234186232171236,0.7571133492598505
0,10,10,256,2048,0,1.0,1.602573773971086,0.7656597458465828
0,10,10,512,16,0,0.1,4.99138677642271,0.3681838218567961
0,10,10,512,32,0,1.0,3.610810125450479,0.5595910865180236
0,10,10,512,64,0,1.0,3.3525938320774915,0.5918143800575615
0,10,10,512,128,0,1.0,2.7028072966343686,0.6367767385401075
0,10,10,512,256,0,1.0,2.5724775484533904,0.6544958446072884
0,10,10,512,512,0,1.0,2.4854137607229254,0.6704095126217524
0,10,10,512,1024,0,1.0,2.2273983277808167,0.7137978790355506
0,10,10,512,2048,0,1.0,2.2920886613173472,0.7153188354116793
0,10,10,1024,16,0,1.0,5.410600150253176,0.3772001494257976
0,10,10,1024,32,0,1.0,3.4592444732550724,0.5696478911707183
0,10,10,1024,64,0,1.0,3.5494282140450313,0.575015367098046
0,10,10,1024,128,0,1.0,2.7176832919991325,0.6690163320206126
0,10,10,1024,256,0,1.0,2.332542726150516,0.6950137553559874
0,10,10,1024,512,0,1.0,2.343443381699238,0.6947397539184772
0,10,10,1024,1024,0,1.0,2.1843833754892104,0.7268639517735815
0,10,10,1024,2048,0,1.0,2.0796099958432723,0.7303199988928208
0,10,10,2048,16,0,1.0,4.909106129914488,0.4066571589068849
0,10,10,2048,32,0,1.0,3.667738196584664,0.5537322224355539
0,10,10,2048,64,0,1.0,3.178844832320271,0.6083618629041534
0,10,10,2048,128,0,1.0,2.6693718675660656,0.6853075952128649
0,10,10,2048,256,0,1.0,2.3839045199991284,0.7152501199938214
0,10,10,2048,512,0,1.0,2.23557382350095,0.7312193850935518
0,10,10,2048,1024,0,1.0,2.071657228046156,0.7380184271229079
0,10,10,2048,2048,0,1.0,2.0393486970179246,0.745939510963799
0,2,2,16,16,1,0.01,0.39676061557971565,-0.2714420444673624
0,2,2,16,32,1,1.0,0.5195843082573302,0.29744014774105854
0,2,2,16,64,1,0.1,0.6680879329877334,0.10691016283348276
0,2,2,16,128,1,0.01,0.37096988525334584,0.0
0,2,2,16,256,1,0.01,0.695056089372154,-2.4769413773666344
0,2,2,16,512,1,0.1,0.1987185149239975,-0.0229559898526972
0,2,2,16,1024,1,0.1,0.3667827090221153,-0.3814490918179563
0,2,2,16,2048,1,0.01,0.3558085084123501,-0.5040801291132933
0,2,2,32,16,1,0.01,0.6856201530396544,-1.7311148859794505
0,2,2,32,32,1,0.1,0.23897752097580438,-0.18855668714755414
0,2,2,32,64,1,0.1,0.35339786778038873,0.18983958020794833
0,2,2,32,128,1,0.1,0.3141820144925066,-0.3392838099426272
0,2,2,32,256,1,0.01,0.5173287591132639,-0.30218828288752153
0,2,2,32,512,1,0.01,0.12928180394579716,0.47475706034531084
0,2,2,32,1024,1,0.1,0.37852180915044453,-0.30569034175466325
0,2,2,32,2048,1,0.1,0.34264279109028756,0.00859285761720241
0,2,2,64,16,1,0.1,0.14171057487054217,0.43385618201387643
0,2,2,64,32,1,0.1,0.2065513086847326,0.2535739586008985
0,2,2,64,64,1,1.0,0.3233708529958645,0.03507653794076071
0,2,2,64,128,1,0.1,0.5004166064329946,-0.7355981423773992
0,2,2,64,256,1,0.1,0.3021822490469322,-0.226068466407779
0,2,2,64,512,1,0.1,0.2700247442067725,-0.08024145488281165
0,2,2,64,1024,1,1.0,0.2325781080565066,0.2568336032578641
0,2,2,64,2048,1,0.1,0.2039226481656101,0.20488534654468937
0,2,2,128,16,1,0.1,0.25180061776935964,0.030664406254346077
0,2,2,128,32,1,0.1,0.13955672102972932,0.48352981344664436
0,2,2,128,64,1,0.1,0.22684756372761114,0.12773587060920677
0,2,2,128,128,1,0.1,0.2924715217862536,-0.15767903023931717
0,2,2,128,256,1,0.1,0.15151691669510095,0.4022787047436478
0,2,2,128,512,1,0.1,0.18546001444271568,0.267396251559448
0,2,2,128,1024,1,0.1,0.17649201264909187,0.3561311702444203
0,2,2,128,2048,1,0.1,0.20717862074816273,0.29415725791543357
0,2,2,256,16,1,0.1,0.16243999232285644,0.34505342927422555
0,2,2,256,32,1,0.1,0.13748370243198524,0.4639350985895645
0,2,2,256,64,1,0.1,0.17095388851700077,0.3241649461866418
0,2,2,256,128,1,0.1,0.18627934900666027,0.26612684133746367
0,2,2,256,256,1,0.1,0.11370294193253914,0.5496102452914671
0,2,2,256,512,1,0.1,0.12898282888958312,0.47972878716490985
0,2,2,256,1024,1,0.1,0.19407116067934582,0.3397039946898591
0,2,2,256,2048,1,0.1,0.12297525438733883,0.5166662994922488
0,2,2,512,16,1,0.1,0.16662038597690793,0.3397958444350736
0,2,2,512,32,1,0.1,0.1283528873224592,0.48597499458454674
0,2,2,512,64,1,0.1,0.1492185351116241,0.4095201446040091
0,2,2,512,128,1,0.1,0.13572391074867654,0.46167568817529814
0,2,2,512,256,1,0.1,0.0961266712385967,0.6138286679029421
0,2,2,512,512,1,0.1,0.1127004178464443,0.5594493476350189
0,2,2,512,1024,1,0.1,0.126547356954283,0.4933188868597548
0,2,2,512,2048,1,0.1,0.13371321808758152,0.4699031052972179
0,2,2,1024,16,1,1.0,0.15491467177782126,0.38676175891013076
0,2,2,1024,32,1,0.1,0.136434581806527,0.46120055624416056
0,2,2,1024,64,1,0.1,0.1296538670674175,0.48146515199549955
0,2,2,1024,128,1,0.1,0.12614544749050263,0.4975930748396661
0,2,2,1024,256,1,0.1,0.10501195910435361,0.578902309075346
0,2,2,1024,512,1,0.1,0.11922384282255147,0.5248667275915819
0,2,2,1024,1024,1,0.1,0.11498470318940668,0.5400427746666909
0,2,2,1024,2048,1,0.1,0.10402854516967228,0.5839931669933744
0,2,2,2048,16,1,1.0,0.1361585642234283,0.45719892851628774
0,2,2,2048,32,1,0.1,0.12452546037235927,0.501906627526534
0,2,2,2048,64,1,0.1,0.11577087026972524,0.5362531648254492
0,2,2,2048,128,1,0.1,0.11546150920434245,0.5398683398461603
0,2,2,2048,256,1,0.1,0.10477483979946713,0.5791587917598128
0,2,2,2048,512,1,0.1,0.11774013825961718,0.5308167254395819
0,2,2,2048,1024,1,0.1,0.10516250249607427,0.5806202638874647
0,2,2,2048,2048,1,0.1,0.10131694411733401,0.5953160058623008
0,2,10,16,16,1,0.1,5.056887860379492,0.26812705488186683
0,2,10,16,32,1,0.01,25.309869056647496,-0.5492735656318062
0,2,10,16,64,1,0.1,5.818844969693918,0.10748307857387907
0,2,10,16,128,1,0.01,10.289857471450956,-0.31837394997392443
0,2,10,16,256,1,0.01,6.685975066870461,0.8341378327216149
0,2,10,16,512,1,0.01,3.0008101631775603,0.691846863739856
0,2,10,16,1024,1,0.01,2.223513147276448,0.8548134131025569
0,2,10,16,2048,1,1.0,6.868574661824809,0.6501410980243418
0,2,10,32,16,1,0.1,8.143651002356952,0.3196586266653405
0,2,10,32,32,1,1.0,11.617482102247509,-0.22757609278929936
0,2,10,32,64,1,0.1,8.053577537442163,-0.11301550483912703
0,2,10,32,128,1,0.1,13.68944401694474,-0.34829200155534923
0,2,10,32,256,1,0.1,7.041395688692056,0.09027735933861125
0,2,10,32,512,1,0.1,7.524940263827856,0.37046408307796075
0,2,10,32,1024,1,0.1,4.55725135758937,0.5213052466316734
0,2,10,32,2048,1,1.0,6.586880485063335,0.42196650223658594
0,2,10,64,16,1,0.1,7.694739192151568,0.05385430904689026
0,2,10,64,32,1,1.0,6.5441166581541435,0.4002806565233914
0,2,10,64,64,1,1.0,7.292876974484972,0.37936858704516274
0,2,10,64,128,1,1.0,6.76496184599069,0.21099698883803986
0,2,10,64,256,1,0.1,5.561513912778574,0.34782129796944716
0,2,10,64,512,1,0.1,5.62320360436879,0.37118533372143125
0,2,10,64,1024,1,1.0,3.980765873908833,0.4012676511291198
0,2,10,64,2048,1,1.0,3.6491387866189102,0.46423656944821623
0,2,10,128,16,1,1.0,5.804629465370237,0.37771476574984963
0,2,10,128,32,1,1.0,5.571329582243579,0.35077930818387404
0,2,10,128,64,1,0.1,4.389256987275202,0.5086960173823543
0,2,10,128,128,1,1.0,5.744922592681964,0.34390843943529303
0,2,10,128,256,1,0.1,4.531542695704346,0.34475281198272556
0,2,10,128,512,1,0.1,5.2921666846047275,0.5012893194000744
0,2,10,128,1024,1,0.1,4.457387192538237,0.4519660394495526
0,2,10,128,2048,1,1.0,5.301470491814693,0.34604474999482016
0,2,10,256,16,1,0.1,4.999427740683773,0.4219231034245111
0,2,10,256,32,1,0.1,3.846751677621612,0.5475122966342691
0,2,10,256,64,1,0.1,4.370130526326472,0.5224432515001711
0,2,10,256,128,1,0.1,3.7061152062985396,0.5006450849472911
0,2,10,256,256,1,0.1,3.688545224497722,0.5817089906738657
0,2,10,256,512,1,0.1,3.9597288171470693,0.5414986905154254
0,2,10,256,1024,1,0.1,3.688684792214438,0.5047384408310589
0,2,10,256,2048,1,0.1,3.9686782816659005,0.4746107996918518
0,2,10,512,16,1,1.0,5.4364187721068244,0.33717340782560545
