,r,C,T,n,fold,best_alpha,mse,evs
0,10,2,64,1024,0,0.1,0.22607263298012165,0.40529581620284727
0,10,2,64,2048,0,0.1,0.15835624074433963,0.4678498759013128
0,10,2,128,16,0,0.1,0.18623823488547658,0.30922691665037694
0,10,2,128,32,0,0.1,0.21626738500890763,0.18563777839920825
0,10,2,128,64,0,1.0,0.1393601687171672,0.5081188798839782
0,10,2,128,128,0,0.01,0.10764319267443961,0.5786997381108865
0,10,2,128,256,0,0.1,0.1652522931619178,0.39493831333478724
0,10,2,128,512,0,0.1,0.19573029184755153,0.4315043346397971
0,10,2,128,1024,0,1.0,0.18565027355671032,0.3111442989366854
0,10,2,128,2048,0,1.0,0.17202115450065428,0.48758588400383274
0,10,2,256,16,0,1.0,0.1386035762933947,0.5083022199750908
0,10,2,256,32,0,1.0,0.16210934442705893,0.4000191888752882
0,10,2,256,64,0,1.0,0.16221263523333979,0.45592740221403294
0,10,2,256,128,0,0.1,0.11417765812441044,0.5424702917979536
0,10,2,256,256,0,1.0,0.14363961341400605,0.4661980203863909
0,10,2,256,512,0,1.0,0.19941150704818195,0.36708849119620535
0,10,2,256,1024,0,1.0,0.18717224073715694,0.3910986511404233
0,10,2,256,2048,0,1.0,0.12249375306201567,0.5462598463347432
0,10,2,512,16,0,1.0,0.14106474634708413,0.43875437172695275
0,10,2,512,32,0,1.0,0.15328679735036632,0.4440730581085527
0,10,2,512,64,0,1.0,0.1377105299236795,0.46256026303772246
0,10,2,512,128,0,1.0,0.14782330495890342,0.41989805728437535
0,10,2,512,256,0,1.0,0.13879399228506029,0.4647548065539763
0,10,2,512,512,0,1.0,0.16845756910923315,0.39582343608766246
0,10,2,512,1024,0,1.0,0.16000118459736443,0.3971035314067053
0,10,2,512,2048,0,1.0,0.14612623046205353,0.42574130436609803
0,10,2,1024,16,0,1.0,0.16277227935265132,0.3666119513499111
0,10,2,1024,32,0,1.0,0.1572055516470662,0.3717523936375987
0,10,2,1024,64,0,1.0,0.12737161787496631,0.4998527460795187
0,10,2,1024,128,0,1.0,0.14555823912079674,0.41842444680737245
0,10,2,1024,256,0,1.0,0.12869182238846166,0.48512328877425936
0,10,2,1024,512,0,1.0,0.1344643627037384,0.48548692183339104
0,10,2,1024,1024,0,1.0,0.1392164388936167,0.44781091444786125
0,10,2,1024,2048,0,1.0,0.12189220418032692,0.5172966795031024
0,10,2,2048,16,0,1.0,0.15628487421157772,0.37709151106455807
0,10,2,2048,32,0,1.0,0.14640315887552047,0.4164475853620664
0,10,2,2048,64,0,1.0,0.1290807240351986,0.48613028850395446
0,10,2,2048,128,0,1.0,0.13378299892743986,0.46609747099594134
0,10,2,2048,256,0,1.0,0.1279147049984468,0.48860475902597056
0,10,2,2048,512,0,1.0,0.13346505021280178,0.46828461704172997
0,10,2,2048,1024,0,1.0,0.12769739761525006,0.48856829142160363
0,10,2,2048,2048,0,1.0,0.12498685035082052,0.5035788678073381
0,10,10,16,16,0,1.0,2.833498767602574,0.3912937925113509
0,10,10,16,32,0,0.01,9.848427421318144,0.6073269568037221
0,10,10,16,64,0,0.01,6.253861798901726,0.22980385225253708
0,10,10,16,128,0,0.1,1.7792773407792382,0.7461914425757079
0,10,10,16,256,0,0.1,2.712706587739183,0.513621929521777
0,10,10,16,512,0,0.01,18.369372964916025,-0.2427869732715513
0,10,10,16,1024,0,0.01,1.9165333525147727,0.7026149901117358
0,10,10,16,2048,0,1.0,2.2446086457492003,0.47654839721948306
0,10,10,32,16,0,0.1,2.2789391681893356,0.6146078982385398
0,10,10,32,32,0,0.01,3.0173874059758385,0.677507879255241
0,10,10,32,64,0,0.1,7.408561631838966,-0.04040316048634285
0,10,10,32,128,0,0.1,2.0863895359136775,0.679357011986997
0,10,10,32,256,0,0.1,3.280340401192487,0.7404901741847212
0,10,10,32,512,0,0.1,8.300357952177043,0.12990151310027365
0,10,10,32,1024,0,0.1,4.896236077421117,0.4111624718679757
0,10,10,32,2048,0,0.1,4.04417058789067,0.45591087766766714
0,10,10,64,16,0,0.1,6.832648189114966,0.284126658639113
0,10,10,64,32,0,1.0,3.7091686623560483,0.603872709962275
0,10,10,64,64,0,0.1,5.628071451469232,0.5902790248553029
0,10,10,64,128,0,1.0,1.6762243317460777,0.7872098092181605
0,10,10,64,256,0,0.1,3.5778091020984215,0.5722070756869517
0,10,10,64,512,0,0.1,5.060676139588395,0.5970581216657358
0,10,10,64,1024,0,1.0,4.385984896633228,0.6153230707611947
