,r,C,T,n,fold,best_alpha,mse,evs
0,2,2,256,1024,0,0.1,0.12895099558620104,0.4619983059509203
0,2,2,256,2048,0,0.1,0.14667487410257374,0.4093095517683766
0,2,2,512,16,0,1.0,0.13611240713012046,0.4618573889101465
0,2,2,512,32,0,0.1,0.1454527353996779,0.42712906746727597
0,2,2,512,64,0,1.0,0.1383274835565494,0.4349852616190083
0,2,2,512,128,0,0.1,0.12713058971332705,0.5045332898481263
0,2,2,512,256,0,1.0,0.13952052880939747,0.45186042825179495
0,2,2,512,512,0,0.1,0.1214829623276863,0.5264329417835842
0,2,2,512,1024,0,0.1,0.1295951617684099,0.47855106161517313
0,2,2,512,2048,0,1.0,0.1280331900186213,0.5107968209262826
0,2,2,1024,16,0,1.0,0.14051883854071634,0.44438052422379115
0,2,2,1024,32,0,1.0,0.14353788323873026,0.4289200586286297
0,2,2,1024,64,0,0.1,0.1319209866339435,0.4723698241842743
0,2,2,1024,128,0,1.0,0.12061282633592296,0.5252627800291223
0,2,2,1024,256,0,0.1,0.12158067097260376,0.5151402587869376
0,2,2,1024,512,0,0.1,0.1198337750504794,0.5182916443925896
0,2,2,1024,1024,0,0.1,0.1165150693970784,0.5316434714477882
0,2,2,1024,2048,0,0.1,0.09995834330737144,0.6000825956977291
0,2,2,2048,16,0,1.0,0.13439123035585346,0.46360637964604856
0,2,2,2048,32,0,0.1,0.13114033007507053,0.47710352654016885
0,2,2,2048,64,0,1.0,0.12296103305009576,0.5094271934366807
0,2,2,2048,128,0,0.1,0.10054314285992216,0.599441138581176
0,2,2,2048,256,0,0.1,0.10373929875564947,0.5860242557244503
0,2,2,2048,512,0,0.1,0.10684318773286357,0.5719378493474816
0,2,2,2048,1024,0,0.01,0.10429099889024951,0.5841906292996375
0,2,2,2048,2048,0,0.01,0.09835407232137248,0.6064537071962237
0,2,10,16,16,0,0.01,5.783003361150965,0.8254598053184397
0,2,10,16,32,0,0.01,4.26248737663328,0.713569297929625
0,2,10,16,64,0,0.1,10.024521547930718,-0.12724668911520753
0,2,10,16,128,0,0.01,4.347517621648022,0.4139526175716851
0,2,10,16,256,0,0.01,8.043861134651543,0.25698960419145533
0,2,10,16,512,0,0.01,7.346772516312937,0.5491182912039336
0,2,10,16,1024,0,0.01,4.666423093086935,0.6107545064384646
0,2,10,16,2048,0,0.1,5.895674582869321,-0.0017342580987753653
0,2,10,32,16,0,0.01,4.86025543591324,0.1873003669693466
0,2,10,32,32,0,1.0,5.951136672837582,0.0539428365424095
0,2,10,32,64,0,0.01,5.094036597101466,0.47088081974608353
0,2,10,32,128,0,0.1,6.275531100012485,0.3111605693648021
0,2,10,32,256,0,0.01,6.4106016458404795,0.14515713062603397
0,2,10,32,512,0,0.01,8.624002748379642,0.5922054570606408
0,2,10,32,1024,0,0.01,2.65319576345982,0.7129278054590189
0,2,10,32,2048,0,1.0,7.4999041185745705,-0.02387783426463641
0,2,10,64,16,0,0.1,5.908901537237164,0.18588890237301559
0,2,10,64,32,0,0.1,6.34734252106474,0.2209093008740417
0,2,10,64,64,0,0.1,5.9299406026878305,0.03672625285274256
0,2,10,64,128,0,0.1,4.613863890310472,0.43328255070438393
0,2,10,64,256,0,0.1,4.902777318826727,0.22471908899823811
0,2,10,64,512,0,0.1,3.8116041285970015,0.48425121211280997
0,2,10,64,1024,0,0.1,4.259021295685011,0.47764558691720593
0,2,10,64,2048,0,0.01,3.816070744157004,0.570044668988245
0,2,10,128,16,0,1.0,7.404584913217565,-0.028757140260134317
0,2,10,128,32,0,1.0,4.9368394982499435,0.30840695191919787
0,2,10,128,64,0,0.1,4.983111171194546,0.3174804815604976
0,2,10,128,128,0,1.0,3.1733957358744345,0.6601278427156279
0,2,10,128,256,0,0.1,4.2794419874779415,0.24479679199953652
0,2,10,128,512,0,0.1,4.074380604068347,0.42964581051425677
0,2,10,128,1024,0,0.1,3.989274041096229,0.5133217083327526
0,2,10,128,2048,0,1.0,3.7788654761994596,0.5313945948792268
0,2,10,256,16,0,1.0,4.655469971802458,0.4100045534016563
0,2,10,256,32,0,1.0,3.6817720707366024,0.5442449650282011
0,2,10,256,64,0,0.1,3.459016228125956,0.5567895705985448
0,2,10,256,128,0,1.0,3.1831626266947635,0.5911428450628029
0,2,10,256,256,0,1.0,3.5687517798466617,0.5389090631792737
0,2,10,256,512,0,1.0,2.6040548786631437,0.6381762727011772
0,2,10,256,1024,0,1.0,3.3726240143246393,0.6056255763586791
0,2,10,256,2048,0,0.1,3.3196305096681797,0.5637656382105865
0,2,10,512,16,0,1.0,4.293369531755826,0.4318682082779173
0,2,10,512,32,0,1.0,3.2767573435033848,0.5606367118101299
0,2,10,512,64,0,1.0,3.621249766155078,0.5469413605236421
0,2,10,512,128,0,1.0,3.257638525455935,0.6189733064420112
0,2,10,512,256,0,1.0,3.0610257200653317,0.645168422439522
0,2,10,512,512,0,1.0,2.9937828648644444,0.6372921436810703
0,2,10,512,1024,0,1.0,3.0006194215270274,0.6292769596765494
0,2,10,512,2048,0,1.0,3.0896498962975985,0.6580024352756211
0,2,10,1024,16,0,1.0,4.304676823758454,0.4908103051565377
0,2,10,1024,32,0,1.0,3.2963611656812652,0.594361440862902
